TC ID,Testcase title,Expected result,Actual result,Status (Passed/Failed),Run type (Manual / Automatic),Tested by,Date started,Pre-conditions,Test step details,Test data,Note
TC_PT_01,earnPoints - Amount null hoặc 0,Trả về 0,Trả về 0,Passed,Automatic,Antigravity Bot,2026-07-30,amount = null hoặc 0,"1. Gọi earnPoints.
2. Xác minh trả về 0.","null, 0",
TC_PT_02,earnPoints - Amount quá nhỏ,Trả về 0 (vì floor),Trả về 0,Passed,Automatic,Antigravity Bot,2026-07-30,amount = 99.000,"1. Gọi earnPoints.
2. Xác minh điểm = 0.",99000,
TC_PT_03,earnPoints - Thành công,"Tính điểm, lưu UserPoints và Tx",Lưu thành công,Passed,Automatic,Antigravity Bot,2026-07-30,amount = 250.000,"1. Gọi earnPoints.
2. Xác minh tính ra 2 điểm, lưu thành công.",250000,
TC_PT_04,spendPoints - Điểm < 0,Ném Exception,Ném Exception,Passed,Automatic,Antigravity Bot,2026-07-30,points = -5,"1. Gọi spendPoints.
2. Xác minh IllegalArgumentException.",-5,
TC_PT_05,spendPoints - Chưa có ví điểm,Ném Exception,Ném Exception,Passed,Automatic,Antigravity Bot,2026-07-30,Không tìm thấy ví,"1. Gọi spendPoints.
2. Xác minh PointBalanceException.",,
TC_PT_06,spendPoints - Không đủ điểm,Ném Exception,Ném Exception,Passed,Automatic,Antigravity Bot,2026-07-30,Điểm hiện tại < điểm cần tiêu,"1. Gọi spendPoints.
2. Xác minh PointBalanceException.","current=10, spend=50",
TC_PT_07,spendPoints - Thành công,"Trừ điểm, lưu Tx",Thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Đủ điểm,"1. Gọi spendPoints.
2. Xác minh điểm bị trừ, lưu Tx SPEND.",spend=100,
TC_PT_08,reversePoints - Không có Tx EARN,Không làm gì,Return early,Passed,Automatic,Antigravity Bot,2026-07-30,Không có giao dịch EARN,"1. Gọi reversePoints.
2. Xác minh Repo save không bị gọi.",,
TC_PT_09,reversePoints - Thành công,"Trừ điểm, lưu Tx REVERSE",Thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Có Tx EARN,"1. Gọi reversePoints.
2. Xác minh điểm bị trừ, lưu REVERSE.",,
TC_PT_10,reversePoints - Không đủ điểm để trừ,Trừ về 0,"Về 0, không âm",Passed,Automatic,Antigravity Bot,2026-07-30,Điểm EARN > Current points,"1. Gọi reversePoints.
2. Xác minh điểm về 0, không bị âm.",,
