TC ID,Testcase title,Expected result,Actual result,Status (Passed/Failed),Run type (Manual / Automatic),Tested by,Date started,Pre-conditions,Test step details,Test data,Note
TC_PT_01,getTierForUser - User không tồn tại,"Trả về hạng mặc định ""THUONG""","Trả về ""THUONG""",Passed,Automatic,Antigravity Bot,2026-07-30,userId không hợp lệ,"1. Mock UserRepository trả về rỗng.
2. Gọi getTierForUser(1L).
3. Xác minh kết quả trả về là ""THUONG"".",id=1L,
TC_PT_02,getTierForUser - Không đủ điều kiện (Spent & Points thấp),"Trả về hạng mặc định ""THUONG""","Trả về ""THUONG""",Passed,Automatic,Antigravity Bot,2026-07-30,"Spent = null, Points = null","1. Mock OrderRepo trả null cho sumSpent.
2. Mock PointTxRepo trả null cho sumPoints.
3. Mock DB trả danh sách có hạng VIP.
4. Gọi getTierForUser(1L).
5. Xác minh trả về THUONG do không thỏa điều kiện VIP.",id=1L,
TC_PT_03,getTierForUser - Match bằng tổng chi tiêu (Spent),Trả về mã hạng tương ứng (VIP),"Trả về ""VIP""",Passed,Automatic,Antigravity Bot,2026-07-30,"Spent vượt min, Points thiếu","1. Mock OrderRepo sumSpent = 6M (vượt ngưỡng 5M của VIP).
2. Mock PointTxRepo sumPoints = 10 (chưa đủ 50).
3. Gọi getTierForUser(1L).
4. Xác minh trả về VIP do match điều kiện Spent.",spent=6M,
TC_PT_04,getTierForUser - Match bằng tổng điểm (Points),Trả về mã hạng tương ứng (VIP),"Trả về ""VIP""",Passed,Automatic,Antigravity Bot,2026-07-30,"Spent thiếu, Points vượt min","1. Mock OrderRepo sumSpent = 1M (không đủ 5M).
2. Mock PointTxRepo sumPoints = 60 (vượt ngưỡng 50).
3. Gọi getTierForUser(1L).
4. Xác minh trả về VIP do match điều kiện Points.",points=60,
TC_PT_05,getLoyaltyProgress - User không tồn tại,Trả về null,Trả về null,Passed,Automatic,Antigravity Bot,2026-07-30,userId sai,"1. Mock UserRepository trả về rỗng.
2. Gọi getLoyaltyProgress(1L).
3. Xác minh kết quả trả về là null.",id=1L,
TC_PT_06,getLoyaltyProgress - Đang ở hạng cao nhất (không có Next Tier),"Trả về DTO, nextTierCode = null",DTO không chứa Next Tier,Passed,Automatic,Antigravity Bot,2026-07-30,"User đang ở VIP, không có hạng VVIP","1. Mock User thuộc hạng VIP.
2. Mock DB trả về list hạng (chỉ có VIP).
3. Gọi getLoyaltyProgress(1L).
4. Xác minh DTO trả về currentTierCode=VIP, nextTierCode=null.",tier=VIP,
TC_PT_07,"getLoyaltyProgress - Có Next Tier, tính toán còn thiếu bao nhiêu",Tính chính xác Spent Remaining và Points Remaining,Tính toán đúng 4M và 40đ,Passed,Automatic,Antigravity Bot,2026-07-30,"User đang THUONG, tiêu 1M, kiếm 10đ","1. Mock User thuộc THUONG.
2. Mock sumSpent=1M, sumPoints=10.
3. Mock DB có hạng VIP yêu cầu 5M hoặc 50đ.
4. Xác minh DTO tính spentRemainingToNextTier = 4M, pointsRemainingToNextTier = 40.","spent=1M, pts=10",
TC_PT_08,getLoyaltyProgress - Đã vượt mức min Spent nhưng chưa update hạng,Spent Remaining = 0,Spent Remaining = 0,Passed,Automatic,Antigravity Bot,2026-07-30,"Spent = 6M, yêu cầu 5M","1. Mock sumSpent = 6M.
2. Mock hạng VIP yêu cầu 5M.
3. Xác minh spentRemainingToNextTier = 0 (không bị âm).",spent=6M,
TC_PT_09,upgradeTierIfEligible - User không tồn tại,Return false,Return false,Passed,Automatic,Antigravity Bot,2026-07-30,userId sai,"1. Mock findById rỗng.
2. Gọi upgradeTierIfEligible(1L).
3. Xác minh trả về false.",id=1L,
TC_PT_10,upgradeTierIfEligible - Không có sự nâng hạng (newPriority <= currentPriority),Return false,Return false,Passed,Automatic,Antigravity Bot,2026-07-30,Tier mới không cao hơn,"1. Mock user đang ở VIP.
2. Mock getTierForUser trả về kết quả là THUONG.
3. Gọi upgradeTierIfEligible.
4. Xác minh trả về false.",tier=VIP,
