TC ID,Testcase title,Expected result,Actual result,Status (Passed/Failed),Run type,Tested by,Date started,Module/Class,Test step details,Test data,Note
TC_ST_BUYER_01,Luồng mua hàng chuẩn COD,"Đơn hàng tạo thành công, giỏ hàng xóa","Đơn hàng tạo thành công, giỏ rỗng",Passed,Manual (System),QA Team,2026-07-31,Checkout Flow,"1. Tìm giày Nike
2. Thêm giỏ
3. Checkout COD
4. Kiểm tra trang cá nhân",COD,
TC_ST_BUYER_02,Thanh toán VNPay thành công,"Trừ tiền thẻ test, trả về trang Success","Trừ tiền thành công, Callback VNPay OK",Passed,Manual (System),QA Team,2026-07-31,VNPay Flow,"1. Thêm giỏ
2. Chọn VNPay
3. Nhập thẻ test NCB
4. Redirect về trang Success",NCB Test Card,
TC_ST_BUYER_03,Lỗi Back trình duyệt sau khi thanh toán VNPay,"Không cho phép đặt lại đơn, hiển thị lỗi hợp lý","Hệ thống cho phép checkout lại giỏ hàng cũ, sinh ra 2 đơn hàng trùng lặp",Failed,Manual (System),QA Team,2026-07-31,VNPay Flow,"1. Thanh toán VNPay xong
2. Bấm nút Back của trình duyệt
3. Bấm Đặt hàng lần 2",N/A,BUG_ST_001: Lỗi duplicate order khi Back
TC_ST_BUYER_04,Sử dụng Voucher khi giỏ hàng chưa đạt điều kiện tối thiểu,Báo lỗi không đủ điều kiện,Hiển thị toast error: Đơn hàng chưa đủ điều kiện,Passed,Manual (System),QA Team,2026-07-31,Cart Flow,"1. Thêm SP 100k
2. Áp Voucher yêu cầu 500k",Voucher: MIN500,
TC_ST_BUYER_05,Concurrency: 2 khách hàng mua cùng 1 sản phẩm cuối cùng,Khách hàng bấm sau bị báo lỗi hết hàng,Khách hàng 2 bị văng lỗi Hết hàng khi Checkout,Passed,Automation (E2E),QA Team,2026-07-31,Inventory Flow,"1. SP còn đúng 1 tồn kho
2. User A và User B cùng mở màn checkout
3. Bấm thanh toán đồng thời",Slg = 1,
TC_ST_ADMIN_01,Duyệt đơn hàng và trừ tồn kho,"Đơn hàng sang DELIVERING, tồn kho trừ thực tế","Đơn hàng sang DELIVERING, số lượng kho chuẩn",Passed,Manual (System),QA Team,2026-07-31,Admin Flow,"1. Vào Admin
2. Đổi status PENDING -> DELIVERING
3. Check bảng Product Size",OrderId: 1,
TC_ST_ADMIN_02,Hủy đơn hàng đã thanh toán VNPay (Refund),"Gửi yêu cầu Refund VNPay, cộng lại kho, cộng lại Voucher","Đơn hàng bị hủy, kho cộng lại nhưng KHÔNG tự động Refund VNPay API",Failed,Manual (System),QA Team,2026-07-31,Admin Flow,"1. Tìm đơn VNPay đã thanh toán
2. Đổi status -> CANCELLED
3. Kiểm tra console/API",VNPay Order,BUG_ST_002: Chưa gọi API Hoàn tiền VNPay
TC_ST_ADMIN_03,Xem báo cáo doanh thu theo tháng,Biểu đồ hiển thị đúng tổng tiền các đơn COMPLETED,Biểu đồ load chuẩn,Passed,Automation (E2E),QA Team,2026-07-31,Dashboard Flow,"1. Vào Dashboard
2. Lọc tháng hiện tại",Date Range,
TC_ST_ADMIN_04,Thêm mới SP nhưng upload ảnh quá dung lượng,Báo lỗi dung lượng > 5MB,"Cloudflare upload quăng HTTP 413, giao diện sập trắng màn hình thay vì hiện Toast",Failed,Manual (System),QA Team,2026-07-31,Product Flow,"1. Admin thêm sản phẩm
2. Chọn ảnh 15MB",Ảnh 15MB,BUG_ST_003: Lỗi unhandled exception khi upload
TC_ST_LOYALTY_01,Tích điểm thành công sau khi đơn hàng COMPLETED,Điểm user tăng tương ứng 1% giá trị đơn,Điểm cộng đúng,Passed,Manual (System),QA Team,2026-07-31,Loyalty Flow,"1. Mua đơn 1 triệu
2. Admin chuyển COMPLETED
3. Check ví điểm = +1000",Đơn 1M,
