TC ID,Testcase title,Expected result,Actual result,Status (Passed/Failed),Run type (Manual / Automatic),Tested by,Date started,Pre-conditions,Test step details,Test data,Note
TC_VV_01,validateCreate - Mệnh giá không hợp lệ,Throw IllegalArgumentException,Báo lỗi mệnh giá,Passed,Automatic,Antigravity Bot,2026-07-30,Discount = 15k,"1. Khởi tạo VoucherCreateRequest với discount 15k (không thuộc tập hợp cho phép).
2. Gọi validateCreate.
3. Bắt IllegalArgumentException và verify message.",req: 15k,
TC_VV_02,validateCreate - Điểm đổi sai lệch,Throw IllegalArgumentException,Báo lỗi điểm,Passed,Automatic,Antigravity Bot,2026-07-30,"Discount = 20k, Points = 3","1. Khởi tạo Req có discount 20k, points = 3 (thay vì 2).
2. Gọi validateCreate.
3. Verify lỗi chỉ ra sai số điểm quy đổi.","req: 20k, 3 points",
TC_VV_03,validateCreate - Đơn tối thiểu < mệnh giá,Throw IllegalArgumentException,Báo lỗi Min Order,Passed,Automatic,Antigravity Bot,2026-07-30,"Discount = 50k, MinOrder = 40k","1. Khởi tạo Req với min order 40k < discount 50k.
2. Gọi validateCreate.
3. Verify báo lỗi ""Đơn tối thiểu phải >= mệnh giá giảm"".","req: 50k, 40k min",
TC_VV_04,validateCreate - Mã bị trùng,Throw IllegalArgumentException,Báo lỗi mã tồn tại,Passed,Automatic,Antigravity Bot,2026-07-30,Mã EXISTING đã có trong DB,"1. Truyền req có code = EXISTING.
2. Mock repository trả về true (đã tồn tại).
3. Gọi validateCreate và verify báo lỗi trùng.",code=EXISTING,
TC_VV_05,validateCreate - Status không hợp lệ,Throw IllegalArgumentException,Báo lỗi Status,Passed,Automatic,Antigravity Bot,2026-07-30,Status = INVALID,"1. Khởi tạo req status=INVALID.
2. Gọi validateCreate.
3. Verify ném ngoại lệ báo status ko thuộc danh sách cho phép.",status=INVALID,
TC_VV_06,validateCreate - Hợp lệ,Không ném lỗi,"Chạy mượt, pass",Passed,Automatic,Antigravity Bot,2026-07-30,Req hợp lệ,"1. Khởi tạo req đầy đủ hợp lệ.
2. Gọi validateCreate.
3. Xác minh hàm chạy hoàn thành không văng lỗi (assertDoesNotThrow).","req: 100k, 10đ",
TC_VV_07,validateUpdate - Không tìm thấy voucher,Throw IllegalArgumentException,Báo lỗi ko tìm thấy,Passed,Automatic,Antigravity Bot,2026-07-30,ID ko tồn tại,"1. Mock findById trả về Optional.empty().
2. Gọi validateUpdate.
3. Xác minh báo lỗi không tìm thấy Voucher.",id=1,
TC_VV_08,validateUpdate - Cập nhật mệnh giá sai,Throw IllegalArgumentException,Báo lỗi mệnh giá,Passed,Automatic,Antigravity Bot,2026-07-30,Discount = 999,"1. Mock DB trả về Voucher tồn tại.
2. Gửi request update với discount = 999.
3. Xác minh ném Exception mệnh giá không hợp lệ.",req: 999,
TC_VV_09,validateUpdate - Cập nhật điểm sai,Throw IllegalArgumentException,Báo lỗi điểm,Passed,Automatic,Antigravity Bot,2026-07-30,"Discount = 50k, Points = 10","1. Mock DB trả về Voucher.
2. Gửi update req discount 50k, points 10.
3. Xác minh báo lỗi tỷ lệ quy đổi sai.","req: 50k, 10đ",
TC_VV_10,validateUpdate - Đơn < mệnh giá mới,Throw IllegalArgumentException,Báo lỗi Min Order,Passed,Automatic,Antigravity Bot,2026-07-30,"Discount mới = 100k, MinOrder = 50k","1. Truyền yêu cầu update đổi discount lên 100k và min_order 50k.
2. Gọi validateUpdate.
3. Xác minh báo lỗi Min Order.","req: 100k, min 50k",
