TC ID,Testcase title,Expected result,Actual result,Status (Passed/Failed),Run type (Manual / Automatic),Tested by,Date started,Pre-conditions,Test step details,Test data,Note
TC_CART_01,Lấy giỏ hàng khi User đã có giỏ hàng,"Trả về đúng giỏ hàng của User, không tạo giỏ mới",Trả về đúng giỏ hàng ID=1,Passed,Automatic,Antigravity Bot,7/30/2026,"User tồn tại, giỏ hàng đã có","1. Mock UserRepository trả về User
2. Mock CartRepository trả về Cart
3. Gọi getCartByUser",email=test@gmail.com,
TC_CART_02,Tự động tạo giỏ hàng khi User chưa có,Tạo giỏ hàng mới và lưu vào DB,Giỏ hàng mới được tạo và lưu thành công,Passed,Automatic,Antigravity Bot,7/30/2026,"User tồn tại, giỏ hàng chưa có","1. Mock UserRepository trả về User
2. Mock CartRepository trả về rỗng
3. Gọi getCartByUser",email=test@gmail.com,
TC_CART_03,Lấy giỏ hàng khi User không tồn tại,"Báo lỗi ""User not found""","Ném ra Exception ""User not found""",Passed,Automatic,Antigravity Bot,7/30/2026,User không tồn tại,"1. Mock UserRepository trả về rỗng
2. Gọi getCartByUser",email=test@gmail.com,
TC_CART_04,Thêm sản phẩm mới vào giỏ (Đủ hàng),Thêm mới 1 CartItem vào giỏ với số lượng yêu cầu,"Thêm thành công, quantity=2",Passed,Automatic,Antigravity Bot,7/30/2026,"Sản phẩm chưa có trong giỏ, Tồn kho=10","1. Gọi addToCart với quantity=2
2. Verify lưu CartItem","email, variantId=100, qty=2",
TC_CART_05,Cộng dồn số lượng khi SP đã có trong giỏ (Đủ hàng),Số lượng được cộng dồn (3 + 2 = 5),"Cộng dồn thành công, quantity=5",Passed,Automatic,Antigravity Bot,7/30/2026,"Sản phẩm đã có trong giỏ (qty=3), Tồn kho=10","1. Gọi addToCart với quantity=2
2. Verify lưu CartItem mới","email, variantId=100, qty=2",
TC_CART_06,Báo lỗi khi thêm SP vượt quá tồn kho,"Báo lỗi ""Không đủ hàng trong kho""","Ném ra Exception ""Không đủ hàng trong kho""",Passed,Automatic,Antigravity Bot,7/30/2026,Tồn kho=10,"1. Gọi addToCart với quantity=11
2. Kiểm tra Exception","email, variantId=100, qty=11",
TC_CART_07,Báo lỗi khi thêm SP không tồn tại (Variant NotFound),"Báo lỗi ""Variant not found""","Ném ra Exception ""Variant not found""",Passed,Automatic,Antigravity Bot,7/30/2026,Variant ID không tồn tại,"1. Mock ProductVariantRepository trả về rỗng
2. Gọi addToCart","email, variantId=100",
TC_CART_08,Xóa sản phẩm khỏi giỏ hàng thành công,Sản phẩm bị xóa khỏi danh sách và DB,Xóa thành công khỏi CartItems,Passed,Automatic,Antigravity Bot,7/30/2026,Sản phẩm đang nằm trong giỏ,"1. Gọi removeCartItem
2. Verify delete được gọi","email, variantId=100",
TC_CART_09,Báo lỗi khi xóa sản phẩm không có trong giỏ,"Báo lỗi ""Cart item not found""","Ném ra Exception ""Cart item not found""",Passed,Automatic,Antigravity Bot,7/30/2026,Sản phẩm không có trong giỏ,"1. Gọi removeCartItem
2. Kiểm tra Exception","email, variantId=100",
TC_CART_10,Cập nhật số lượng SP trong giỏ (Đủ hàng),Số lượng thay đổi thành số mới,Số lượng được cập nhật thành 8,Passed,Automatic,Antigravity Bot,7/30/2026,"Sản phẩm đang nằm trong giỏ, Tồn kho=10",1. Gọi updateCartItemQuantity với qty=8,"email, variantId=100, qty=8",
TC_CART_11,Báo lỗi khi cập nhật số lượng SP không có trong giỏ,"Báo lỗi ""Cart item not found""","Ném ra Exception ""Cart item not found""",Passed,Automatic,Antigravity Bot,7/30/2026,Sản phẩm không có trong giỏ,"1. Gọi updateCartItemQuantity với qty=5
2. Kiểm tra Exception","email, variantId=100, qty=5",
TC_CART_12,Cập nhật số lượng SP vượt quá tồn kho,"Báo lỗi ""Không đủ hàng""","Ném ra Exception ""Không đủ hàng""",Passed,Automatic,Antigravity Bot,7/30/2026,"Sản phẩm đang nằm trong giỏ, Tồn kho=10",1. Gọi updateCartItemQuantity với qty=12,"email, variantId=100, qty=12",
TC_CART_13,Làm sạch giỏ hàng (Clear cart),Xóa toàn bộ CartItem trong giỏ,Xóa thành công tất cả Items,Passed,Automatic,Antigravity Bot,7/30/2026,Giỏ hàng đang có nhiều SP,"1. Gọi clearCart
2. Verify deleteAll",Cart object,
