TC_ST_AUTH_01,Đăng ký tài khoản mới,"Hiển thị thông báo ""Đăng ký thành công"" và chuyển hướng tới Login","Hiển thị thông báo ""Đăng ký thành công"" và chuyển hướng tới Login",Passed,Manual,QA Team,7/31/2026,Auth,"1. Mở trang Đăng ký
2. Điền thông tin hợp lệ
3. Click Đăng ký
4. Kiểm tra URL và thông báo",user3@gmail.com,
TC_ST_AUTH_02,Đăng ký tài khoản với email đã tồn tại,Hiển thị lỗi Email đã tồn tại,Giao diện không hiển thị thông báo lỗi. (Backend có ném lỗi nhưng UI không xử lý hiển thị),Failed,Manual,QA Team,7/31/2026,Auth Flow,"1. Truy cập trang /register
2. Nhập Email đã có trong DB
3. Click nút Đăng ký
4. Kiểm tra thông báo lỗi hiển thị trên form",user3@gmail.com,
TC_ST_AUTH_03,Đăng ký password yếu (<6 ký tự),Validate frontend chặn lại,Frontend báo lỗi min length,Passed,Manual,QA Team,7/31/2026,Auth Flow,"1. Truy cập trang /register
2. Nhập Password có 3 ký tự
3. Bấm Đăng ký
4. Kiểm tra dòng text cảnh báo dưới ô Password",pass=123,
TC_ST_AUTH_04,Đăng nhập thành công,"Vào trang chủ, hiển thị tên User",,,Manual,QA Team,7/31/2026,Auth Flow,"1. Truy cập trang /login
2. Nhập Email và Password hợp lệ
3. Bấm Đăng nhập
4. Xác minh giao diện Header hiển thị Avatar User",Valid credentials,
,,,,,,,,,,,
TC_ST_AUTH_05,Đăng nhập sai tên đăng nhập hoặc mật khẩu,Hiển thị lỗi sai tên đăng nhập hoặc mật khẩu,Giao diện không hiển thị thông báo lỗi. (Backend có ném lỗi nhưng UI không xử lý hiển thị),Failed,Manual,QA Team,7/31/2026,Auth Flow,"1. Truy cập trang /login
2. Nhập Password sai 5 lần liên tục
3. Lần thứ 6 nhập Password đúng
4. Kiểm tra hệ thống có cho phép Login không",Wrong pass,BUG_ST_006: Thiếu cơ chế brute-force protection
TC_ST_AUTH_05,Đăng nhập sai mật khẩu 5 lần,Tài khoản bị tạm khóa 15 phút,"Chưa có cơ chế block tài khoản, vẫn cho login tiếp",Failed,Manual,QA Team,7/31/2026,Auth Flow,"1. Truy cập trang /login
2. Nhập Password sai 5 lần liên tục
3. Lần thứ 6 nhập Password đúng
4. Kiểm tra hệ thống có cho phép Login không",Wrong pass,BUG_ST_006: Thiếu cơ chế brute-force protection
TC_ST_AUTH_07,Login bằng Google,"Dẫn đến trang Đăng nhập của Google, đăng nhập thành công","Dẫn đến trang Đăng nhập của Google, đăng nhập thành công",Passed,Manual,QA Team,7/31/2026,Auth Flow,"1. Truy cập trang /login
2. Tìm nút Đăng nhập bằng Facebook
3. Click và làm theo hướng dẫn
4. Xác minh Login thành công",FB account,BUG_ST_013: Thiếu tính năng Đăng nhập FB trên UI
TC_ST_AUTH_08,Quên mật khẩu - Gửi link thành công,Gửi email chứa link reset,Email gửi thành công qua Mailtrap,Passed,Manual,QA Team,7/31/2026,Auth Flow,"1. Mở trang /forgot-password
2. Điền Email hợp lệ
3. Bấm Gửi yêu cầu
4. Truy cập Mailtrap kiểm tra Email",Valid email,
TC_ST_AUTH_09,Sử dụng link reset password đã hết hạn,Báo lỗi token hết hạn,Báo lỗi đúng,Passed,Manual,QA Team,7/31/2026,Auth Flow,"1. Copy token reset pass từ Email
2. Sửa expired time trong DB hoặc chờ 16 phút
3. Truy cập URL chứa token đó
4. Kiểm tra thông báo lỗi",Expired token,
TC_ST_AUTH_10,"Cập nhật Profile (Tên, SDT)",Thông tin được cập nhật,"Thông tin cập nhật DB, nhưng ô giao diện SĐT không đổi chỉ hiện email",Failed,Manual,QA Team,7/31/2026,Profile Flow,"1. Login User
2. Vào trang /profile
3. Thay đổi số điện thoại
4. Bấm Lưu và f5 lại trang",SDT mới,
TC_ST_PROD_01,Load giao diện trang chủ,"Giao diện không vỡ, hiển thị đủ các SP mới nhất","Giao diện không vỡ, hiển thị đủ các SP mới nhất",Passed,Manual,QA Team,7/31/2026,Product Flow,"1. Truy cập trang chủ
2. Cuộn xuống phần Sản phẩm mới
3. Đếm số lượng Product Card hiển thị
4. Xác nhận số lượng >= 10",N/A,
TC_ST_PROD_02,Phân trang danh sách sản phẩm,Chuyển sang page 2 thành công,Page 2 load mượt,Passed,Manual,QA Team,7/31/2026,Product Flow,"1. Kéo thanh cuộn xuống cuối danh sách sản phẩm
2. Click nút Page 2 trên Pagination
3. Chờ API load
4. Kiểm tra URL thay đổi (?page=2) và SP thay đổi",Page=2,
TC_ST_PROD_03,Tìm kiếm từ khóa,Hiển thị danh sách kết quả chứa từ khóa,Hoàn toàn không có nút tìm kiếm trên Header,Failed,Manual,QA Team,7/31/2026,Product,"1. Bấm vào thanh Search bar
2. Gõ từ khóa hợp lệ (VD: Nike)
3. Nhấn Enter
4. Kiểm tra danh sách hiển thị",Keyword: Nike,BUG: Missing Feature
TC_ST_PROD_04,Tìm kiếm với từ khóa không tồn tại,"Hiển thị ""Không tìm thấy""",Hoàn toàn không có nút tìm kiếm trên Header,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Gõ chuỗi ký tự ngẫu nhiên (vd: dsfdsfsf)
2. Bấm tìm kiếm
3. Nhìn giao diện hiển thị text ""Không tìm thấy SP""
4. Đảm bảo UI không bị crash rỗng",dsfdsfsf,
TC_ST_PROD_05,Tìm kiếm chứa ký tự đặc biệt (SQL Injection),Chặn ký tự hoặc mã hóa an toàn,Hoàn toàn không có nút tìm kiếm trên Header,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Gõ payload SQLi: ' OR 1=1 --
2. Thực hiện Search
3. Kiểm tra Network log xem Backend trả mã 200 hay 500
4. Xác nhận hệ thống chặn SQLi an toàn",SQLi payload,
TC_ST_PROD_06,Lọc sản phẩm theo Giá (Dưới 1 triệu),Chỉ hiển thị SP < 1M,Chưa có chức năng lọc theo giá,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Mở cột Bộ lọc bên trái
2. Chọn checkbox ""Dưới 1.000.000đ""
3. Đợi danh sách cập nhật
4. Quét giá tất cả SP hiển thị xem có SP nào > 1M không",< 1M,
TC_ST_PROD_07,Lọc sản phẩm theo Size (Size 42),Chỉ hiển thị SP có tồn kho size 42,Không tìm thấy bộ lọc Size trên giao diện web UI,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Mở trang Danh sách sản phẩm
2. Cố gắng tìm bộ lọc Kích cỡ (Size)
3. Click chọn Size 42
4. Kiểm tra kết quả",Size 42,BUG_ST_007: Thiếu tính năng (Missing Feature) trên Frontend so với SRS
TC_ST_PROD_08,Lọc theo Thương hiệu (Adidas),Hiển thị SP Adidas,Hiển thị chính xác các SP hãng Adidas,Passed,Manual,QA Team,7/31/2026,Product,"1. Tại trang SP, chọn hãng Adidas
2. Đợi URL cập nhật
3. Đọc dữ liệu thẻ SP
4. Xác nhận chứa Adidas",Adidas,
TC_ST_PROD_09,Xem chi tiết sản phẩm,"Hiển thị đúng tên, giá, size",Hiển thị chuẩn,Passed,Manual,QA Team,7/31/2026,Product Flow,"1. Ở trang chủ, bấm vào 1 Thumbnail sản phẩm
2. Trình duyệt chuyển sang /product/{id}
3. Xác minh UI có đủ: Tên, Giá, Bảng Size, Nút Add Cart",ID=1,
TC_ST_PROD_10,Click xem nhiều ảnh sản phẩm (Slider),Ảnh trượt mượt mà,Slider bị vỡ layout trên màn hình Mobile(chưa phát triển giao diện trên mobile),Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Mở DevTools (F12) -> Bật chế độ Mobile Responsive
2. Vào chi tiết 1 sản phẩm có nhiều ảnh
3. Thử vuốt (Swipe) thanh Slider
4. Quan sát cấu trúc Layout",Mobile View,BUG_ST_008: Responsive Slider lỗi và đè giao diện trên Mobile
