TC ID,Testcase title,Expected result,Actual result,Status (Passed/Failed),Run type (Manual / Automatic),Tested by,Date started,Pre-conditions,Test step details,Test data,Note
TC_MAIL_01,sendEmail - Gửi thành công,Gọi mailSender.send(MimeMessage),Gửi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Mock MimeMessage,"1. Mock mailSender trả về MimeMessage.
2. Gọi sendEmail(""test@example.com"").
3. Xác minh mailSender.send được gọi với MimeMessage.",email=test@example.com,
TC_MAIL_02,sendEmail - Lỗi MessagingException,"Bắt lỗi, in stack trace, không crash",Bắt lỗi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Helper ném lỗi MessagingException,"1. Mock setSubject ném ra MessagingException.
2. Gọi sendEmail.
3. Xác minh bắt lỗi và chạy tiếp (không crash).",error mock,
TC_MAIL_03,sendNewPassword - Gửi thành công,Gọi mailSender.send(SimpleMailMessage),Gửi SimpleMail thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Mật khẩu mới = newPass123,"1. Gọi sendNewPassword.
2. Bắt ArgumentCaptor của SimpleMailMessage.
3. Xác minh data hợp lệ.",pass=newPass123,
TC_MAIL_04,sendNewPassword - Lỗi MailSendException,Ném MailSendException,Ném ngoại lệ đúng đắn,Passed,Automatic,Antigravity Bot,2026-07-30,mailSender ném lỗi,"1. Mock mailSender.send ném MailSendException.
2. Gọi sendNewPassword.
3. Xác minh ngoại lệ được ném ra không bị nuốt.",mock error,
TC_MAIL_05,sendPasswordResetLink - Gửi thành công,Gọi mailSender.send(MimeMessage),Gửi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Có link reset,"1. Gọi sendPasswordResetLink.
2. Xác minh gọi hàm send.",link=reset,
TC_MAIL_06,sendPasswordResetLink - Exception catch,"Bắt lỗi, không crash",Bắt lỗi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Lỗi lúc tạo Mime,"1. Mock Mime ném lỗi.
2. Gọi hàm.
3. Xác minh không crash.",mock error,
TC_MAIL_07,sendPasswordChangedConfirmation - Gửi thành công,Gọi mailSender.send(MimeMessage),Gửi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Gửi email confirm,"1. Gọi sendPasswordChangedConfirmation.
2. Xác minh gọi hàm send.",,
TC_MAIL_08,sendPasswordChangedConfirmation - Exception catch,"Bắt lỗi, không crash",Bắt lỗi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Lỗi lúc tạo Mime,"1. Mock Mime ném lỗi.
2. Gọi hàm.
3. Xác minh không crash.",mock error,
TC_MAIL_09,sendVipWelcome - Gửi thành công,Gọi mailSender.send(MimeMessage),Gửi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,User lên VIP,"1. Gọi sendVipWelcome.
2. Xác minh gọi hàm send.",,
TC_MAIL_10,sendVipWelcome - Exception catch,"Bắt lỗi, không crash",Bắt lỗi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Lỗi lúc tạo Mime,"1. Mock Mime ném lỗi.
2. Gọi hàm.
3. Xác minh không crash.",mock error,
TC_MAIL_11,sendVipDowngraded - Gửi thành công,Gọi mailSender.send(MimeMessage),Gửi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,User xuống THUONG,"1. Gọi sendVipDowngraded.
2. Xác minh gọi hàm send.",,
TC_MAIL_12,sendVipDowngraded - Exception catch,"Bắt lỗi, không crash",Bắt lỗi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Lỗi lúc tạo Mime,"1. Mock Mime ném lỗi.
2. Gọi hàm.
3. Xác minh không crash.",mock error,
TC_MAIL_13,sendVipExpiryWarning - Gửi thành công,Gọi mailSender.send(MimeMessage),Gửi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,VIP sắp hết hạn,"1. Gọi sendVipExpiryWarning.
2. Xác minh gọi hàm send.",,
TC_MAIL_14,sendVipExpiryWarning - Exception catch,"Bắt lỗi, không crash",Bắt lỗi thành công,Passed,Automatic,Antigravity Bot,2026-07-30,Lỗi lúc tạo Mime,"1. Mock Mime ném lỗi.
2. Gọi hàm.
3. Xác minh không crash.",mock error,
